# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Wed Nov 13 03:38:56 2024
# Radiative transfer took 21.076 seconds
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2
1.600880000e+00 9.81975e-01 9.99319e-01 9.82655e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01 1.00000e+00 1.00000e+00
1.600890000e+00 9.76840e-01 9.99385e-01 9.77452e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01 1.00000e+00 1.00000e+00
1.600900000e+00 9.68219e-01 9.99422e-01 9.68797e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99981e-01 1.00000e+00 1.00000e+00
1.600910000e+00 9.52557e-01 9.99424e-01 9.53142e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99962e-01 1.00000e+00 1.00000e+00
1.600920000e+00 9.20601e-01 9.99434e-01 9.21141e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99980e-01 1.00000e+00 1.00000e+00
1.600930000e+00 8.43397e-01 9.99460e-01 8.43860e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99991e-01 1.00000e+00 1.00000e+00
1.600940000e+00 6.14700e-01 9.99471e-01 6.15029e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99993e-01 1.00000e+00 1.00000e+00
1.600950000e+00 4.43713e-01 9.99470e-01 4.43952e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99994e-01 1.00000e+00 1.00000e+00
1.600960000e+00 7.67064e-01 9.99454e-01 7.67489e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99992e-01 1.00000e+00 1.00000e+00
1.600970000e+00 8.90101e-01 9.99437e-01 8.90612e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01 1.00000e+00 1.00000e+00
1.600980000e+00 9.37489e-01 9.99435e-01 9.38035e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99982e-01 1.00000e+00 1.00000e+00
1.600990000e+00 9.60519e-01 9.99430e-01 9.61106e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99959e-01 1.00000e+00 1.00000e+00
1.601000000e+00 9.72371e-01 9.99402e-01 9.73051e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99899e-01 1.00000e+00 1.00000e+00
1.601010000e+00 9.79163e-01 9.99339e-01 9.79871e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99939e-01 1.00000e+00 1.00000e+00
1.601020000e+00 9.83322e-01 9.99274e-01 9.84072e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99964e-01 1.00000e+00 1.00000e+00
1.601030000e+00 9.85917e-01 9.99175e-01 9.86782e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99948e-01 1.00000e+00 1.00000e+00
1.601040000e+00 9.87530e-01 9.99045e-01 9.88556e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99918e-01 1.00000e+00 1.00000e+00
1.601050000e+00 9.88668e-01 9.99126e-01 9.89683e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99848e-01 1.00000e+00 1.00000e+00
1.601060000e+00 9.89354e-01 9.99178e-01 9.90306e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99861e-01 1.00000e+00 1.00000e+00
1.601070000e+00 9.89414e-01 9.99156e-01 9.90357e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99892e-01 1.00000e+00 1.00000e+00
1.601080000e+00 9.88111e-01 9.99098e-01 9.89057e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99945e-01 1.00000e+00 1.00000e+00
1.601090000e+00 9.81817e-01 9.99013e-01 9.82817e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99969e-01 1.00000e+00 1.00000e+00
1.601100000e+00 9.86843e-01 9.98901e-01 9.87963e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99966e-01 1.00000e+00 1.00000e+00
1.601110000e+00 9.89087e-01 9.98751e-01 9.90371e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99953e-01 1.00000e+00 1.00000e+00
1.601120000e+00 9.89333e-01 9.98549e-01 9.90836e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99933e-01 1.00000e+00 1.00000e+00
1.601130000e+00 9.88725e-01 9.98266e-01 9.90611e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99830e-01 1.00000e+00 1.00000e+00
1.601140000e+00 9.87698e-01 9.97846e-01 9.89944e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99885e-01 1.00000e+00 1.00000e+00
1.601150000e+00 9.86010e-01 9.97183e-01 9.88843e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99952e-01 1.00000e+00 1.00000e+00
1.601160000e+00 9.83260e-01 9.96045e-01 9.87188e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99976e-01 1.00000e+00 1.00000e+00
1.601170000e+00 9.78706e-01 9.93940e-01 9.84693e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99979e-01 1.00000e+00 1.00000e+00
1.601180000e+00 9.70762e-01 9.90141e-01 9.80462e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99963e-01 1.00000e+00 1.00000e+00
1.601190000e+00 9.61778e-01 9.86480e-01 9.75021e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99937e-01 1.00000e+00 1.00000e+00
1.601200000e+00 9.56376e-01 9.88607e-01 9.67428e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99972e-01 1.00000e+00 1.00000e+00
1.601210000e+00 9.45437e-01 9.92416e-01 9.52679e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99988e-01 1.00000e+00 1.00000e+00
1.601220000e+00 9.18421e-01 9.94588e-01 9.23430e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99993e-01 1.00000e+00 1.00000e+00
1.601230000e+00 8.52871e-01 9.95554e-01 8.56689e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99995e-01 1.00000e+00 1.00000e+00
1.601240000e+00 6.72652e-01 9.95860e-01 6.75453e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99996e-01 1.00000e+00 1.00000e+00
1.601250000e+00 3.47995e-01 9.95762e-01 3.49479e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99996e-01 1.00000e+00 1.00000e+00
1.601260000e+00 6.66562e-01 9.95350e-01 6.69691e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99997e-01 1.00000e+00 1.00000e+00
1.601270000e+00 8.45547e-01 9.94610e-01 8.50141e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99996e-01 1.00000e+00 1.00000e+00
1.601280000e+00 9.14176e-01 9.93432e-01 9.20229e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99996e-01 1.00000e+00 1.00000e+00
1.601290000e+00 9.43131e-01 9.91626e-01 9.51106e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99993e-01 1.00000e+00 1.00000e+00
1.601300000e+00 9.55916e-01 9.88791e-01 9.66773e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99982e-01 1.00000e+00 1.00000e+00
1.601310000e+00 9.60036e-01 9.84041e-01 9.75640e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99968e-01 1.00000e+00 1.00000e+00
